,name,ran_successfully,runtime,start_mem,max_mem,mode,commit_hash,datetime,fname
77,turbo_1,True,188.46831385399992,122.69921875,743.12890625,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
78,GIBBON_for_efficient_batch_entropy_search,True,13.654865030999986,114.125,603.65625,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
79,Multi_objective_multi_fidelity_BO,True,48.25453835799999,115.72265625,608.0234375,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
80,batch_mode_cross_validation,True,3.4809925129999897,116.51171875,555.13671875,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
81,bo_with_warped_gp,True,13.32997805599996,116.9765625,569.22265625,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
82,closed_loop_botorch_only,True,13.748893913000018,117.1875,558.1328125,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
83,compare_mc_analytic_acquisition,True,4.81237901999998,117.4375,532.2734375,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
84,composite_bo_with_hogp,True,45.971898539,117.1875,1182.58203125,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
85,composite_mtbo,True,58.39294395000002,116.9375,638.453125,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
86,constrained_multi_objective_bo,True,10.909848115999978,116.9375,564.83203125,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
87,custom_acquisition,True,24.27202496999996,116.9375,914.1796875,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
88,custom_botorch_model_in_ax,True,7.30743035200004,117.8359375,994.1484375,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
89,discrete_multi_fidelity_bo,True,53.29343132000008,118.0625,622.28515625,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
90,fit_model_with_torch_optimizer,True,3.860764148000044,118.1171875,555.89453125,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
91,information_theoretic_acquisition_functions,True,187.56607722799995,120.08203125,1761.2421875,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
92,max_value_entropy,True,10.053533550999989,120.08203125,897.6015625,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
93,meta_learning_with_rgpe,True,4.353289260999986,120.26953125,575.68359375,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
94,multi_fidelity_bo,True,18.467953814,120.26953125,568.7421875,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
95,multi_objective_bo,True,19.11392908699997,120.26953125,579.55078125,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
96,one_shot_kg,True,6.936636382000074,120.26953125,545.5546875,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
97,optimize_stochastic,True,3.373978352999984,120.26953125,546.41015625,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
98,optimize_with_cmaes,True,4.464058712999986,120.26953125,556.4375,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
99,risk_averse_bo_with_environmental_variables,True,7.172205832000032,120.26953125,601.74609375,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
100,risk_averse_bo_with_input_perturbations,True,4.074170069000047,120.39453125,719.12890625,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
101,robust_multi_objective_bo,True,3.603604484000016,121.80859375,567.6796875,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
102,thompson_sampling,True,20.82110204500009,122.76953125,1124.39453125,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
103,turbo_1,True,79.72857754999995,123.01953125,706.73828125,smoke-test,5df2fab1,2023-02-23 20:21:36.360977,smoke-test_5df2fab1_2023-02-23 20:21:36.360977.csv
104,GIBBON_for_efficient_batch_entropy_search,True,16.97412357799999,113.85546875,570.84765625,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
105,Multi_objective_multi_fidelity_BO,True,75.86155513,115.2265625,593.74609375,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
106,batch_mode_cross_validation,True,4.296921028999975,115.9765625,551.8828125,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
107,bo_with_warped_gp,True,18.593060116999997,116.69921875,558.3046875,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
108,closed_loop_botorch_only,True,22.478763947000004,116.69921875,549.6640625,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
109,compare_mc_analytic_acquisition,True,4.349670832000015,116.94921875,529.94140625,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
110,composite_bo_with_hogp,True,71.66139849000001,116.44921875,1226.12890625,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
111,composite_mtbo,True,80.713634319,116.44921875,635.2578125,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
112,constrained_multi_objective_bo,True,17.856428488000006,116.44921875,559.4296875,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
113,custom_acquisition,True,34.738765814999965,116.44921875,919.21875,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
114,custom_botorch_model_in_ax,True,9.308495861000097,117.3515625,989.4921875,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
115,discrete_multi_fidelity_bo,True,74.66324572899998,117.578125,572.23046875,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
116,fit_model_with_torch_optimizer,True,4.721383455999899,117.64453125,559.01953125,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
117,information_theoretic_acquisition_functions,True,243.919996823,119.609375,1792.11328125,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
118,max_value_entropy,True,13.591979688999912,119.609375,936.66796875,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
119,meta_learning_with_rgpe,True,5.610921501000007,119.84765625,568.4921875,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
120,multi_fidelity_bo,True,25.23237932699999,119.84765625,558.6875,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
121,multi_objective_bo,True,34.61393323200002,119.84765625,572.421875,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
122,one_shot_kg,True,7.695593075000033,119.84765625,543.11328125,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
123,optimize_stochastic,True,4.549665518999973,119.84765625,543.8046875,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
124,optimize_with_cmaes,True,5.411201431000109,119.84765625,558.1953125,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
125,risk_averse_bo_with_environmental_variables,True,8.035400471000003,119.84765625,589.05859375,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
126,risk_averse_bo_with_input_perturbations,True,5.010752955999806,119.92578125,704.3203125,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
127,robust_multi_objective_bo,True,4.4016894699998375,121.33203125,565.61328125,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
128,thompson_sampling,True,24.800827024,122.54296875,1115.0,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
129,turbo_1,True,149.8985957729999,122.54296875,740.08203125,smoke-test,d935d10f,2023-02-24 03:08:48.262091,smoke-test_d935d10f_2023-02-24 03:08:48.262091.csv
130,GIBBON_for_efficient_batch_entropy_search,True,13.871246301000042,114.109375,627.421875,smoke-test,7e9fb1b8,2023-02-24 03:57:39.084018,smoke-test_7e9fb1b8_2023-02-24 03:57:39.084018.csv
131,Multi_objective_multi_fidelity_BO,True,48.19689830499999,115.8125,598.375,smoke-test,7e9fb1b8,2023-02-24 03:57:39.084018,smoke-test_7e9fb1b8_2023-02-24 03:57:39.084018.csv
132,batch_mode_cross_validation,True,3.6880008759999896,116.35546875,553.30078125,smoke-test,7e9fb1b8,2023-02-24 03:57:39.084018,smoke-test_7e9fb1b8_2023-02-24 03:57:39.084018.csv
133,bo_with_warped_gp,True,13.523292094999988,117.2890625,570.07421875,smoke-test,7e9fb1b8,2023-02-24 03:57:39.084018,smoke-test_7e9fb1b8_2023-02-24 03:57:39.084018.csv
134,closed_loop_botorch_only,True,16.29309363899995,117.2890625,556.2109375,smoke-test,7e9fb1b8,2023-02-24 03:57:39.084018,smoke-test_7e9fb1b8_2023-02-24 03:57:39.084018.csv
135,compare_mc_analytic_acquisition,True,5.0077853590000245,117.2890625,532.15625,smoke-test,7e9fb1b8,2023-02-24 03:57:39.084018,smoke-test_7e9fb1b8_2023-02-24 03:57:39.084018.csv
